id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
2881,Agri,Resit,23/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2020
2882,Isparta,Resit,21/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,,2020
2883,Ankara,Resit,09/02/2020,Yok,Tartisma,,Tanidigi Birisi,,Darp,Kesici Alet,,Intihar,2020
2884,Diyarbakir,Resit,12/02/2020,Yok,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Intihar,2020
2885,Agri,Resit,28/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2020
2886,Kars,Resit,19/07/2020,Yok,Tartisma,,Tanidigi Birisi,,Atesli Silah,,,,2020
2887,Hatay,Resit,04/02/2020,Yok,Tartisma,,Oglu,,Atesli Silah,,,Intihar,2020
2888,Hatay,Resit,04/02/2020,Yok,Tartisma,,Kocasi,,Atesli Silah,,,Intihar,2020
2889,Diyarbakir,Resit,07/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2020
2890,Sanliurfa,Resit,27/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2020
2891,Ankara,Resit,19/02/2020,Yok,Tartisma,,Kocasi,,Bogulma,,,Tutuklu,2020
